RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
102001,0,United States,country,,0.9818181818181818,0.9836612204068023,0.9873617693522907,0.9899763328142182,0.9920634920634921,0.9928571428571429,0.990765679107349,0.9880458648450842,0.9862385321100917,0.984375,0.9832214765100671,0.9817767653758542,0.980225988700565,0.9824937477670597,0.9851301115241635,0.9876190476190476,0.9897071623088346,0.9904761904761905,0.9894736842105263,0.9877469367341836,0.9864188706218727,0.98547062539482,0.9848484848484849,0.9835616438356164,0.981651376146789,0.9845559845559846,0.9888418622547134,0.9921671018276762,0.99,0.9920954992740765,0.9959349593495935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.002004008016032,1.0084033613445378,1.0055852923667237,1.0002703433360367,1.0,1.0,1.0,1.0,1.0,1.0,1.0027855153203342,1.0129870129870129,1.013787510137875,1.00625,1.0,1.0,1.0,0.9937460913070669,0.9894459102902374,0.9855072463768116,0.9830508474576272,0.9866592551417455,0.9942857142857143,1.0,1.0,1.0,1.0,1.0,1.0
394913,1,"New York, NY",msa,NY,0.9777268466607776,0.9769925892317,0.9785202863961813,0.979591836734694,0.9800392015680626,0.9844559585492227,0.984182776801406,0.9834808557349238,0.9815745393634839,0.9792746113989638,0.9782288908502501,0.9781818181818183,0.9752681993645355,0.975254730713246,0.9759879879879881,0.9777015437392798,0.9807692307692307,0.9823182711198426,0.9819639278557115,0.9818181818181817,0.9798994974874373,0.9785360565078881,0.9777789530890119,0.9782608695652175,0.9771046970044448,0.9758477677482312,0.9789473684210527,0.983345898396415,0.9818181818181817,0.9819639278557115,0.9868447022229007,0.9928295116436717,0.9978213507625273,1.0,1.0,1.0,0.9953956383012947,0.9928443649373884,0.9938366718027735,1.0,1.0,1.0,1.0005408328826393,1.0002222716159146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0009532888465207,1.0094400780018662,1.0141660771121996,1.0102283223867194,1.001430615164521,1.0,1.0,1.0,1.0,0.9892016824220214,0.9872340425531914,0.9949937421777221,1.0,1.0,1.0032258064516129,1.0108108108108107,1.00696371111596,1.0026385224274408
753899,2,"Los Angeles, CA",msa,CA,0.9977318615368126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9965878338628072,0.9937238493723849,0.9920390587048199,0.9911396537912507,0.9885386819484241,0.9910995658707219,0.9919839679358715,0.9944237918215614,0.9957831706137166,0.9971977582065651,0.9952324195470796,0.9956856778525778,0.9946332565284177,0.9942857142857144,0.9966622162883844,0.9942857142857144,0.9933341611124906,1.0,1.0,1.0,1.0,0.998609040027681,1.0,1.0,1.0,1.000001895780773,1.0002166423838863,1.000158002844051,1.0000504016335532,1.000925925925926,1.0120481927710843,1.020326504481434,1.0253164556962024,1.0292246242135494,1.0298538204591656,1.0222222222222221,1.0168022176704847,1.0165062210516755,1.0169491525423728,1.0178571428571426,1.017391304347826,1.0314285714285714,1.0449769917080138,1.048951048951049,1.0402010050251256,1.0247349823321554,1.0049533856722273,1.0,1.0,0.9958333333333335,0.993206919040074,0.9887359198998747,0.9869298479594557,0.9928543061386588,1.0,1.0,1.0016694490818028,1.0062893081761006,1.006904487917146,1.007246376811594,1.0008173344346873
394463,3,"Chicago, IL",msa,IL,0.9711595055915244,0.9726277372262774,0.9769230769230769,0.9799331103678932,0.98113577787086,0.9815567364801501,0.9804282033425179,0.9787367104440275,0.9766676355675409,0.9754989739767844,0.9727891156462585,0.9717062017719347,0.9708737864077668,0.9734513274336284,0.9774328648142221,0.979310344827586,0.9806763285024155,0.9806247528667457,0.9794520547945205,0.9786666666666666,0.9775140449438203,0.9762308998302205,0.9754064193413923,0.9732739089512316,0.9716430358632193,0.9734513274336284,0.9786863853849501,0.9804372842347525,0.9777171441564346,0.9800000000000002,0.9833775500726281,0.9841269841269841,0.9851301115241637,0.9853862212943633,0.9855072463768116,0.9846153846153847,0.9837857533248313,0.983661220406802,0.9908141577985904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9937684486716957,0.9930555555555555,0.9882352941176471,1.0,1.0,1.0005885815185402,1.005722460658083,1.0038610038610039,1.0,1.0,0.994023889498668,0.9894512600924017,0.987012987012987,0.9830670770961929,0.9813258473985212,0.9859557459072814,1.0,1.0,1.0,1.0002942041776992,1.000145427640292,1.0,1.0
394514,4,"Dallas, TX",msa,TX,0.9874270293463409,0.9925925925925927,0.9964285714285717,1.0,1.0,1.0,0.9974785678265254,0.9914772727272726,0.9900000000000001,0.9877469367341833,0.986971350263907,0.9846275032568849,0.9837997054491899,0.9868859766113067,0.9896907216494846,0.9911111111111113,0.9916648383794061,0.9905795180343927,0.9905956112852665,0.98847982792718,0.9867531765341984,0.987012987012987,0.9874999999999999,0.9854369211802333,0.9849906191369604,0.9873333277037012,0.9899749373433585,0.9934228555768704,0.9920476822867261,0.9948051948051947,0.9976470588235296,0.9978213507625273,1.0,1.0,1.0,1.0,1.0,1.0,1.0005002501250626,1.0189962470723992,1.0277777777777777,1.031672394656571,1.0271398747390397,1.0200250312891115,1.0085836909871244,1.0006671114076051,1.0023970363913703,1.0031256511773285,1.0052203534170747,1.0181818181818179,1.0387019946412623,1.0476190476190477,1.0440293529019347,1.027027027027027,1.0062893081761006,1.0,0.9954479929591395,0.9913043478260872,0.9867491950417681,0.9842705247075852,0.9814384151593456,0.9856716366840318,0.9964130434782608,1.0,1.0,1.0,1.0,0.9949853731318263,0.9923664122137403
394692,5,"Houston, TX",msa,TX,0.9757666363381363,0.9775280898876402,0.9789473684210527,0.9819013651380778,0.9816849816849816,0.9818181818181817,0.9812121212121213,0.981132075471698,0.9789956236656747,0.9781021897810219,0.9782608695652175,0.9777777777777777,0.9763905562224889,0.9784969338047443,0.9795748228428511,0.9811594202898551,0.9830508474576272,0.9830508474576272,0.9836065573770493,0.9807692307692307,0.9800073500612506,0.9797979797979799,0.9808729769494848,0.9794628751974724,0.9782608695652175,0.9795833297887724,0.9824937477670597,0.9842105263157893,0.9826086956521739,0.984182776801406,0.986046511627907,0.9866220735785953,0.9859567710691304,0.987012987012987,0.9872475945250034,0.9860177457785084,0.9864898665548993,0.9888236928966903,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0004001600640253,1.00339637873371,1.0,1.0,1.0,0.9885084982640322,0.9859154929577463,0.9818181818181817,0.9802800800228636,0.9782608695652175,0.9806451612903225,0.984251968503937,0.9916480352527597,0.9906542056074767,0.9908570353806609,0.9907311951126384,0.987421383647799,0.984375
395209,6,"Washington, DC",msa,VA,0.9932118613790638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974968710888612,0.9942734401580645,0.9929701230228469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996780987437891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000023529467128,1.0094461937395813,1.0163017255103666,1.0220440881763526,1.0177686969159725,1.0088711080187858,1.0001724435247457,1.0,1.0,1.0,1.0,1.0,1.0055566728407477,1.0199999999999998,1.0255539101777567,1.021505376344086,1.0078473611324819,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0002500625156292,1.0067114093959733,1.0037313952355094,1.0001942124684404,1.0,1.0
394974,7,"Philadelphia, PA",msa,PA,0.9793246549114628,0.979591836734694,0.984474102336142,0.9856115107913669,0.9894446431680348,0.9900000000000001,0.9879963065558633,0.9858645828576706,0.9844395046046364,0.9827052589488401,0.9807767752059631,0.981132075471698,0.9787234042553192,0.9791400595998299,0.9833333333333333,0.9861127454825971,0.989572249414769,0.9917355371900828,0.9897172236503857,0.9864647855012618,0.9842608157126429,0.9848484848484846,0.9845310587725048,0.9830434750554772,0.9782608695652175,0.9823594266813672,0.9879558149228844,0.991178046021558,0.9886124949364178,0.9914857386121751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0002222716159146,1.0055300713557591,1.005687331536388,1.0001599662054927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0141176470588233,1.0188679245283019,1.018393630458318,1.0043227665706052,1.0,1.0,1.0,1.0,1.0,0.9916304549989012,1.0,1.0,1.0,1.0,1.0006671114076051,1.000513421534359,1.0000821588885047,1.0
394856,8,"Miami, FL",msa,FL,0.9615384615384616,0.9634146341463412,0.9653072336654935,0.9652846601130863,0.9656427824502652,0.9666574048346764,0.9661016949152542,0.967675805790316,0.96875,0.9660697153821554,0.9654630232053786,0.9656701466298702,0.9626825310978908,0.964733384072771,0.9655172413793104,0.9650265295621148,0.9666125277735044,0.967741935483871,0.967741935483871,0.9680193607744308,0.9661016949152542,0.96875,0.967741935483871,0.9661998955477217,0.9650487295843144,0.9665551839464881,0.9682804674457428,0.9700854700854701,0.9649122807017544,0.967741935483871,0.970724191063174,0.9710144927536232,0.9710144927536232,0.9714285714285714,0.9724106940073326,0.9703703703703701,0.9713701431492845,0.9708737864077668,0.9739907955914351,0.9764705882352941,0.9799196787148593,0.9849933623987831,0.9883720930232558,0.9882179420440743,0.9871794871794872,0.986468200270636,0.9857142857142858,0.9888559484962276,0.9873417721518988,0.9947128607391279,1.0,1.0,1.0,1.0,1.0,0.9869281045751634,0.9813333333333334,0.9779295787715717,0.9726443768996961,0.9719999999999998,0.9683666881859264,0.9708029197080295,0.9726775956284152,0.9724137931034482,0.9737263042622752,0.9747063930905268,0.977142857142857,0.9759036144578312,0.977494885201182
394347,9,"Atlanta, GA",msa,GA,0.9814953738434609,0.9854698242933537,0.988679245283019,0.9933421985815603,0.9954545454545454,0.9938292759288876,0.9920800333472279,0.9887910328262609,0.9882352941176471,0.9863013698630139,0.9850000000000001,0.9845559845559846,0.9831460674157303,0.9857122443147022,0.9883489614887287,0.9894964988329444,0.9916935073741311,0.9904761904761905,0.9905679067318997,0.9885243487290952,0.9870888230177276,0.9847198641765704,0.9859154929577463,0.985583995292733,0.9827258176366749,0.9865053513261983,0.9900000000000001,0.9952854897852281,0.9936637096184577,0.9926894959599846,0.9956331877729258,0.9959983993597438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.002750687671918,1.01,1.0125,1.0119047619047619,1.007514091862949,1.0004001600640253,1.0000043148335316,1.0003030762306298,1.0002326122354035,1.0,1.0040160642570282,1.0148817527485565,1.0227440640564778,1.0235294117647058,1.0149651800266708,1.0002564760194923,1.0,1.0,0.9922077922077922,0.9891918441034357,0.9871244635193133,0.9859725171707278,0.9910892889616294,1.0,1.0,1.0,1.0,1.0,1.0,1.0
